age,tvhours
18,0
18,1
18,1
18,1
18,1
18,2
18,2
18,3
18,3
18,4
18,4
18,5
18,6
19,0
19,0
19,0
19,0
19,1
19,1
19,1
19,1
19,1
19,2
19,2
19,2
19,2
19,3
19,4
19,5
20,1
20,1
20,2
20,2
20,2
20,3
21,0
21,0
21,0
21,0
21,0
21,1
21,1
21,2
21,2
21,2
21,3
21,4
21,4
21,7
21,10
21,20
22,0
22,0
22,0
22,0
22,1
22,1
22,1
22,1
22,1
22,2
22,3
22,3
22,4
22,4
22,4
22,5
22,10
22,20
23,0
23,1
23,1
23,1
23,2
23,2
23,2
23,3
23,3
23,3
23,4
23,5
23,6
23,12
24,0
24,0
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,2
24,2
24,2
24,2
24,2
24,2
24,3
24,3
24,3
24,4
24,4
24,4
24,5
25,0
25,0
25,0
25,0
25,0
25,1
25,1
25,1
25,1
25,1
25,1
25,2
25,2
25,2
25,2
25,2
25,2
25,3
25,3
25,3
25,4
25,8
25,8
25,12
26,0
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,2
26,2
26,2
26,3
26,3
26,4
26,4
26,4
26,4
26,4
26,6
26,8
27,0
27,0
27,0
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,2
27,2
27,2
27,2
27,3
27,3
27,3
27,4
27,4
27,4
27,5
27,6
27,7
27,8
27,17
28,0
28,0
28,0
28,0
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,2
28,2
28,2
28,2
28,2
28,3
28,3
28,3
28,4
28,4
28,4
28,5
28,5
28,6
28,12
28,16
29,0
29,0
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,2
29,2
29,2
29,3
29,3
29,3
29,3
29,3
29,4
29,5
29,15
30,0
30,0
30,0
30,0
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,3
30,3
30,4
30,4
30,4
30,4
30,5
30,5
30,5
30,7
31,0
31,0
31,0
31,0
31,0
31,1
31,1
31,1
31,1
31,2
31,2
31,2
31,2
31,2
31,2
31,3
31,3
31,3
31,4
31,8
32,0
32,0
32,0
32,0
32,0
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,3
32,3
32,3
32,3
32,4
32,4
32,4
32,7
33,0
33,0
33,0
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,2
33,2
33,2
33,2
33,2
33,2
33,3
33,3
33,4
33,4
33,4
33,6
33,8
33,10
34,0
34,0
34,0
34,0
34,0
34,0
34,0
34,0
34,0
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,2
34,2
34,2
34,2
34,2
34,2
34,2
34,2
34,3
34,3
34,3
34,3
34,3
34,3
34,3
34,4
34,4
34,5
34,5
34,7
35,0
35,0
35,0
35,0
35,1
35,1
35,1
35,1
35,1
35,1
35,2
35,2
35,2
35,2
35,2
35,3
35,3
35,4
35,4
35,4
35,5
35,5
35,5
35,5
35,5
36,0
36,0
36,0
36,1
36,1
36,1
36,1
36,1
36,1
36,2
36,2
36,2
36,2
36,2
36,3
36,3
36,4
36,4
36,4
36,4
36,6
37,0
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,3
37,3
37,3
37,3
37,4
37,5
38,0
38,0
38,0
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,2
38,2
38,2
38,2
38,3
38,3
38,3
38,4
39,0
39,0
39,0
39,0
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,2
39,2
39,2
39,2
39,2
39,2
39,2
39,2
39,2
39,3
39,3
39,3
39,4
39,4
39,6
39,7
39,8
39,8
40,0
40,0
40,1
40,1
40,1
40,1
40,1
40,2
40,2
40,2
40,2
40,2
40,2
40,2
40,2
40,2
40,2
40,3
40,3
40,3
40,4
40,4
40,4
40,5
40,5
40,5
40,5
40,10
41,0
41,0
41,0
41,1
41,1
41,1
41,1
41,1
41,1
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,3
41,3
41,3
41,3
41,3
41,4
41,4
41,4
41,5
41,8
42,0
42,0
42,0
42,0
42,1
42,1
42,1
42,1
42,1
42,1
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,3
42,4
42,5
42,8
42,9
42,10
43,0
43,0
43,0
43,0
43,0
43,0
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,2
43,2
43,2
43,2
43,2
43,3
43,3
43,3
43,4
43,5
43,8
43,10
43,10
44,0
44,0
44,1
44,1
